時刻,種別,行先,二子新地・高津
20:51,各停①,大井町,各停（二子新地・高津通過）
20:57,各停①,大井町,各停（二子新地・高津通過）
21:03,各停①,大井町,各停（二子新地・高津通過）
21:07,各停①,大井町,各停（二子新地・高津通過）
21:12,各停①,大井町,各停（二子新地・高津通過）
21:17,各停①,大井町,各停（二子新地・高津通過）
21:25,各停①,大井町,各停（二子新地・高津通過）
21:31,各停①,大井町,各停（二子新地・高津通過）
21:37,各停①,大井町,各停（二子新地・高津通過）
21:45,各停①,大井町,各停（二子新地・高津通過）
21:52,各停①,大井町,各停（二子新地・高津通過）
21:57,各停①,大井町,各停（二子新地・高津通過）
22:06,各停①,大井町,各停（二子新地・高津通過）
22:15,各停①,大井町,各停（二子新地・高津通過）
22:24,各停①,大井町,各停（二子新地・高津通過）
22:32,各停①,大井町,各停（二子新地・高津通過）
22:39,各停①,大井町,各停（二子新地・高津通過）
22:49,各停①,大井町,各停（二子新地・高津通過）
23:00,各停①,大井町,各停（二子新地・高津通過）
23:10,各停①,大井町,各停（二子新地・高津通過）
23:21,各停①,大井町,各停（二子新地・高津通過）
23:31,各停①,大井町,各停（二子新地・高津通過）
23:42,各停①,大井町,各停（二子新地・高津通過）
23:55,各停①,大井町,各停（二子新地・高津通過）
0:10,各停①,大井町,各停（二子新地・高津通過）
0:27,各停①,大井町,各停（二子新地・高津通過）
